start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget
1402647112406,1402647112906,4,0,0,0,0,0,1
1402647112906,1402647113406,3,0,0,0,0,0,0
1402647113406,1402647113906,0,0,0,0,0,0,0
1402647113906,1402647114406,1,1,0,0,0,0,2
1402647114406,1402647114906,4,0,0,0,0,0,1
1402647114906,1402647115406,3,0,0,0,0,2,0
1402647115406,1402647115906,4,0,0,0,0,1,0
1402647115906,1402647116406,3,0,0,0,0,0,1
1402647116406,1402647116906,4,0,0,0,0,0,0
1402647116906,1402647117406,5,0,0,0,0,0,2
1402647117406,1402647117906,1,2,0,0,0,0,1
1402647117906,1402647118406,0,2,0,0,0,0,1
1402647118406,1402647118906,1,0,0,0,0,0,1
1402647118906,1402647119406,0,0,0,0,0,0,1
1402647119406,1402647119906,0,0,0,0,0,0,2
1402647119906,1402647120406,0,0,0,0,0,0,2
1402647120406,1402647120906,0,0,0,0,0,0,1
1402647120906,1402647121406,0,0,0,0,0,0,2
1402647121406,1402647121906,0,0,0,0,0,0,0
1402647121906,1402647122406,0,0,0,0,1,0,1
1402647122406,1402647122906,0,0,0,0,0,0,1
1402647122906,1402647123406,0,0,0,0,0,0,1
1402647123406,1402647123906,0,1,0,0,0,0,1
1402647123906,1402647124406,0,0,0,0,0,0,2
1402647124406,1402647124906,0,0,0,0,0,0,2
1402647124906,1402647125406,0,0,0,0,0,0,0
1402647125406,1402647125906,0,0,0,0,1,0,1
1402647125906,1402647126406,0,0,0,0,0,0,0
1402647126406,1402647126906,0,0,0,0,0,0,2
1402647126906,1402647127406,0,0,0,0,0,0,2
1402647127406,1402647127906,0,0,0,0,1,0,0
1402647127906,1402647128406,0,0,0,0,0,0,0
1402647128406,1402647128906,0,0,0,0,1,0,3
1402647128906,1402647129406,0,0,0,0,0,0,0
1402647129406,1402647129906,1,0,0,0,1,0,1
1402647129906,1402647130406,0,0,0,0,1,0,1
1402647130406,1402647130906,0,0,0,0,1,0,1
1402647130906,1402647131406,0,0,0,0,0,0,0
1402647131406,1402647131906,1,0,0,0,0,0,1
1402647131906,1402647132406,0,0,0,0,0,0,1
1402647132406,1402647132906,4,0,0,0,0,0,0
1402647132906,1402647133406,4,0,0,0,0,0,2
1402647133406,1402647133906,5,0,0,0,0,0,1
1402647133906,1402647134406,6,0,0,0,0,0,1
1402647134406,1402647134906,2,0,0,0,0,1,1
1402647134906,1402647135406,0,1,0,0,0,2,0
1402647135406,1402647135906,0,8,0,0,0,0,1
1402647135906,1402647136406,0,3,0,0,0,0,0
1402647136406,1402647136906,0,3,0,0,0,0,0
1402647136906,1402647137406,0,1,0,0,0,0,0
1402647137406,1402647137906,0,0,0,1,0,0,1
1402647137906,1402647138406,0,0,0,3,0,0,0
1402647138406,1402647138906,0,1,0,1,0,0,1
1402647138906,1402647139406,0,0,0,1,0,0,1
1402647139406,1402647139906,0,0,0,0,0,1,0
1402647139906,1402647140406,0,0,0,0,0,3,0
1402647140406,1402647140906,0,0,0,0,0,0,0
1402647140906,1402647141406,1,0,0,0,0,0,0
1402647141406,1402647141906,0,0,0,0,0,0,2
1402647141906,1402647142406,0,0,0,0,0,0,2
1402647142406,1402647142906,0,0,0,0,0,0,1
1402647142906,1402647143406,0,0,0,0,0,0,1
1402647143406,1402647143906,0,0,0,0,0,0,1
1402647143906,1402647144406,0,0,0,0,0,0,2
1402647144406,1402647144906,0,0,0,0,0,0,1
1402647144906,1402647145406,0,0,0,0,0,0,2
1402647145406,1402647145906,0,0,0,0,0,0,1
1402647145906,1402647146406,0,0,0,0,0,0,0
1402647146406,1402647146906,0,0,0,0,0,2,1
1402647146906,1402647147406,0,0,0,0,0,0,1
1402647147406,1402647147906,0,0,0,0,0,1,1
1402647147906,1402647148406,0,0,0,0,1,1,1
1402647148406,1402647148906,0,0,0,0,0,0,0
1402647148906,1402647149406,1,0,0,0,0,0,0
1402647149406,1402647149906,2,0,0,0,0,0,1
1402647149906,1402647150406,0,0,0,0,0,0,2
1402647150406,1402647150906,0,0,0,0,0,0,2
1402647150906,1402647151406,0,0,0,0,0,0,2
1402647151406,1402647151906,0,0,0,0,0,0,1
1402647151906,1402647152406,0,0,0,0,0,0,1
1402647152406,1402647152906,1,0,0,0,1,0,1
1402647152906,1402647153406,0,0,0,0,0,0,0
1402647153406,1402647153906,2,0,0,0,0,0,0
1402647153906,1402647154406,0,0,0,0,0,0,2
1402647154406,1402647154906,0,0,0,0,0,0,1
1402647154906,1402647155406,0,0,0,0,0,0,0
1402647155406,1402647155906,0,0,0,0,1,0,0
1402647155906,1402647156406,0,0,0,0,1,0,0
1402647156406,1402647156906,1,0,0,0,0,0,1
1402647156906,1402647157406,0,1,0,0,0,0,0
1402647157406,1402647157906,2,0,0,0,0,0,0
1402647157906,1402647158406,1,0,0,0,0,0,2
1402647158406,1402647158906,0,0,0,0,0,1,0
1402647158906,1402647159406,0,0,0,0,0,2,0
1402647159406,1402647159906,0,0,0,0,0,2,0
1402647159906,1402647160406,0,0,0,0,0,1,0
1402647160406,1402647160906,0,0,0,0,0,1,1
1402647160906,1402647161406,0,0,0,0,0,0,2
1402647161406,1402647161906,0,0,0,0,0,2,0
1402647161906,1402647162406,0,0,0,0,0,2,0
1402647162406,1402647162906,0,0,0,0,0,1,0
1402647162906,1402647163406,0,0,0,0,0,0,2
1402647163406,1402647163906,0,0,0,0,0,0,0
1402647163906,1402647164406,0,0,0,0,1,0,1
1402647164406,1402647164906,0,0,0,0,0,0,0
1402647164906,1402647165406,0,0,0,0,0,1,0
1402647165406,1402647165906,0,0,0,0,0,0,2
1402647165906,1402647166406,0,0,0,0,0,0,1
1402647166406,1402647166906,0,0,0,0,0,0,0
1402647166906,1402647167406,0,0,0,0,0,0,1
1402647167406,1402647167906,2,0,0,0,0,0,0
1402647167906,1402647168406,0,0,0,0,0,1,0
1402647168406,1402647168906,1,0,0,0,0,0,0
1402647168906,1402647169406,1,1,0,0,0,0,0
1402647169406,1402647169906,5,0,0,0,0,0,0
1402647169906,1402647170406,4,0,0,0,0,0,2
1402647170406,1402647170906,4,0,0,0,0,3,0
1402647170906,1402647171406,4,0,0,0,0,0,0
1402647171406,1402647171906,3,0,0,0,0,0,1
1402647171906,1402647172406,0,3,0,0,0,0,1
