start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget,state
1402994613188,1402994613688,0,0,0,0,0,0,0,H1
1402994613688,1402994614188,0,0,0,0,0,0,0,H1
1402994614188,1402994614688,0,0,0,0,0,0,0,H1
1402994614688,1402994615188,0,0,0,0,0,0,0,H1
1402994615188,1402994615688,0,0,0,0,0,0,0,H1
1402994615688,1402994616188,0,0,0,0,0,1,0,H1
1402994616188,1402994616688,0,0,0,0,0,0,0,H1
1402994616688,1402994617188,0,0,0,0,0,1,0,H1
1402994617188,1402994617688,0,0,0,0,0,1,0,H1
1402994617688,1402994618188,0,0,0,0,1,1,0,H2
1402994618188,1402994618688,0,0,0,0,0,1,0,H1
1402994618688,1402994619188,0,0,0,0,0,1,0,H1
1402994619188,1402994619688,0,0,0,0,0,0,0,H1
1402994619688,1402994620188,0,0,0,0,1,0,0,H2
1402994620188,1402994620688,0,0,0,0,1,1,0,H2
1402994620688,1402994621188,0,0,0,0,0,2,0,H1
1402994621188,1402994621688,0,0,0,0,0,0,0,H1
1402994621688,1402994622188,0,0,0,0,0,0,0,H1
1402994622188,1402994622688,0,0,0,0,0,0,0,H1
1402994622688,1402994623188,0,0,0,0,0,1,0,H1
1402994623188,1402994623688,0,0,0,0,0,0,0,H1
1402994623688,1402994624188,0,0,0,0,0,0,0,H1
1402994624188,1402994624688,0,0,0,0,0,0,0,H1
1402994624688,1402994625188,0,0,0,0,0,1,0,H1
1402994625188,1402994625688,0,0,0,0,0,0,0,H1
1402994625688,1402994626188,0,0,0,0,0,0,0,H1
1402994626188,1402994626688,0,0,0,0,0,0,0,H1
1402994626688,1402994627188,0,0,0,0,0,0,0,H1
1402994627188,1402994627688,0,0,0,0,0,0,0,H1
1402994627688,1402994628188,0,0,0,0,0,0,0,H1
1402994628188,1402994628688,0,0,0,0,0,0,0,H1
1402994628688,1402994629188,0,0,0,0,0,0,2,H1
1402994629188,1402994629688,0,0,0,0,0,0,2,H1
1402994629688,1402994630188,0,0,0,0,1,0,0,H2
1402994630188,1402994630688,0,0,0,0,0,0,1,H1
1402994630688,1402994631188,0,0,0,0,0,0,0,H1
1402994631188,1402994631688,1,0,1,0,0,0,2,H2
1402994631688,1402994632188,0,0,0,0,0,0,0,H1
1402994632188,1402994632688,0,0,0,0,0,0,1,H1
1402994632688,1402994633188,0,0,0,0,1,0,1,H2
1402994633188,1402994633688,0,0,0,0,0,0,0,H1
1402994633688,1402994634188,0,0,0,0,0,0,1,H1
1402994634188,1402994634688,0,0,0,0,0,0,0,H1
1402994634688,1402994635188,0,0,0,0,0,1,0,H1
1402994635188,1402994635688,0,0,0,0,0,0,0,H1
1402994635688,1402994636188,0,0,0,0,0,1,0,H1
1402994636188,1402994636688,0,0,0,0,0,0,0,H1
1402994636688,1402994637188,0,0,0,0,0,0,0,H1
1402994637188,1402994637688,0,0,0,0,0,0,0,H1
1402994637688,1402994638188,0,0,0,0,0,0,1,H1
1402994638188,1402994638688,1,0,1,0,0,0,2,H2
1402994638688,1402994639188,0,0,0,0,0,0,1,H1
1402994639188,1402994639688,0,0,0,0,0,0,0,H1
1402994639688,1402994640188,0,1,0,0,0,0,1,H1
1402994640188,1402994640688,0,0,0,0,0,0,2,H1
1402994640688,1402994641188,0,0,0,0,0,0,2,H1
1402994641188,1402994641688,0,0,0,0,0,0,2,H1
1402994641688,1402994642188,0,0,0,0,0,0,3,H1
1402994642188,1402994642688,0,0,0,0,0,0,2,H1
1402994642688,1402994643188,0,0,0,0,1,0,1,H2
1402994643188,1402994643688,0,0,0,0,0,0,0,H1
1402994643688,1402994644188,0,0,0,0,0,0,2,H1
1402994644188,1402994644688,0,0,0,0,0,1,1,H1
1402994644688,1402994645188,0,0,0,0,0,1,1,H1
1402994645188,1402994645688,2,0,0,0,0,0,1,H1
1402994645688,1402994646188,1,0,0,0,0,0,0,H1
1402994646188,1402994646688,4,0,0,0,0,0,0,H1
1402994646688,1402994647188,5,0,0,0,0,0,1,H1
1402994647188,1402994647688,2,0,0,0,0,0,1,H1
1402994647688,1402994648188,4,0,0,0,0,0,0,H1
1402994648188,1402994648688,3,0,1,0,0,0,1,H2
1402994648688,1402994649188,1,0,0,2,0,0,1,H0
1402994649188,1402994649688,0,1,0,1,0,0,1,H2
1402994649688,1402994650188,0,0,0,2,0,0,2,H0
1402994650188,1402994650688,0,0,0,4,0,0,0,H0
1402994650688,1402994651188,1,0,1,2,0,0,2,H2
1402994651188,1402994651688,0,0,0,1,0,0,0,H0
1402994651688,1402994652188,0,1,0,0,0,0,1,H1
1402994652188,1402994652688,0,0,0,0,0,0,2,H1
1402994652688,1402994653188,0,0,0,0,0,0,1,H1
1402994653188,1402994653688,0,0,0,0,0,0,2,H1
1402994653688,1402994654188,0,0,0,0,0,0,2,H1
1402994654188,1402994654688,0,0,0,0,0,0,1,H1
1402994654688,1402994655188,0,0,0,0,0,0,3,H1
1402994655188,1402994655688,0,0,0,0,0,0,1,H1
1402994655688,1402994656188,0,0,0,0,0,0,0,H1
1402994656188,1402994656688,0,0,0,0,1,0,1,H2
1402994656688,1402994657188,0,0,0,0,0,0,1,H1
